# Threads,# Instructions,IPC,Cache References,Cache Miss Rate,#Branches,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss Rate,SpeedUp
1.00,1672552473.00,0.52,43665914.00,7.93,341089991.00,3.36,769164901.00,2.02,41143507.00,8.28,1.00
1.00,2538851035.00,0.56,46824790.00,6.20,463028176.00,2.66,1054509356.00,1.74,45389320.00,7.08,1.00
1.00,5938534114.00,0.75,74958039.00,4.10,859771676.00,2.00,2243138238.00,1.63,69189945.00,4.51,1.00
1.00,5938534114.00,0.01,2186673816.00,1.94,87704865705.00,1.04,248702796628.00,0.39,2174059697.00,1.96,1.00
4.00,1672552473.00,0.52,43665914.00,7.93,341089991.00,3.36,769164901.00,2.02,41143507.00,8.28,0.84
4.00,2538851035.00,0.56,46824790.00,6.20,463028176.00,2.66,1054509356.00,1.74,45389320.00,7.08,1.11
4.00,5938534114.00,0.75,74958039.00,4.10,859771676.00,2.00,2243138238.00,1.63,69189945.00,4.51,1.16
4.00,704102828171.00,0.87,2186673816.00,1.94,87704865705.00,1.04,248702796628.00,0.39,2174059697.00,1.96,2.44
8.00,1672552473.00,0.52,43665914.00,7.93,341089991.00,3.36,769164901.00,2.02,41143507.00,8.28,1.40
8.00,2538851035.00,0.56,46824790.00,6.20,463028176.00,2.66,1054509356.00,1.74,45389320.00,7.08,1.37
8.00,5938534114.00,0.75,74958039.00,4.10,859771676.00,2.00,2243138238.00,1.63,69189945.00,4.51,1.17
8.00,704102828171.00,0.87,2186673816.00,1.94,87704865705.00,1.04,248702796628.00,0.39,2174059697.00,1.96,3.36
16.00,1672552473.00,0.52,43665914.00,7.93,341089991.00,3.36,769164901.00,2.02,41143507.00,8.28,1.22
16.00,2538851035.00,0.56,46824790.00,6.20,463028176.00,2.66,1054509356.00,1.74,45389320.00,7.08,1.82
16.00,5938534114.00,0.75,74958039.00,4.10,859771676.00,2.00,2243138238.00,1.63,69189945.00,4.51,1.23
16.00,704102828171.00,0.87,2186673816.00,1.94,87704865705.00,1.04,248702796628.00,0.39,2174059697.00,1.96,3.79
32.00,1672552473.00,0.52,43665914.00,7.93,341089991.00,3.36,769164901.00,2.02,41143507.00,8.28,1.29
32.00,2538851035.00,0.56,46824790.00,6.20,463028176.00,2.66,1054509356.00,1.74,45389320.00,7.08,1.63
32.00,5938534114.00,0.75,74958039.00,4.10,859771676.00,2.00,2243138238.00,1.63,69189945.00,4.51,1.62
32.00,704102828171.00,0.87,2186673816.00,1.94,87704865705.00,1.04,248702796628.00,0.39,2174059697.00,1.96,4.12
1.00,2839855515.00,0.74,50590689.00,4.87,571119244.00,2.06,1205376677.00,1.98,46075483.00,5.21,1.00
1.00,5112971556.00,0.87,75175074.00,3.95,683567980.00,2.11,1739664370.00,2.71,74913566.00,4.18,1.00
1.00,14150157967.00,1.03,180182018.00,1.64,1594237179.00,1.53,4287286035.00,3.24,177216882.00,1.68,1.00
1.00,777050146419.00,1.11,8545524538.00,0.68,75181431116.00,1.19,216100188267.00,3.42,8547879917.00,0.67,1.00
4.00,2839855515.00,0.74,50590689.00,4.87,571119244.00,2.06,1205376677.00,1.98,46075483.00,5.21,0.45
4.00,5112971556.00,0.87,75175074.00,3.95,683567980.00,2.11,1739664370.00,2.71,74913566.00,4.18,1.42
4.00,14150157967.00,1.03,180182018.00,1.64,1594237179.00,1.53,4287286035.00,3.24,177216882.00,1.68,1.74
4.00,777050146419.00,1.11,8545524538.00,0.68,75181431116.00,1.19,216100188267.00,3.42,8547879917.00,0.67,1.51
8.00,2839855515.00,0.74,50590689.00,4.87,571119244.00,2.06,1205376677.00,1.98,46075483.00,5.21,0.19
