# Threads,# Cycles,# Instructions,IPC,Cache References,Cache misses,Cache Miss Rate,#Branches,Branch-Misses,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss,LL Cache Load Miss Rate,SpeedUp
1,3233534246,1672552473,0.517252129,43665914,3463914,7.932764215,341089991,11468683,3.362362808,769164901,15548557,2.021485507,41143507,3406301,8.27907305,1
1,4573061806,2538851035,0.555175316,46824790,2900961,6.195352932,463028176,12305238,2.657557064,1054509356,18358909,1.740990622,45389320,3212025,7.076609652,1
1,7915854949,5938534114,0.750207546,74958039,3076205,4.103902718,859771676,17162858,1.996211143,2243138238,36508533,1.627565006,69189945,3118514,4.50717803,1
1,8.10759E+11,5938534114,0.007324656,2186673816,42419138,1.939893261,87704865705,913024426,1.041019126,2.48703E+11,967269723,0.388925953,2174059697,42548645,1.957105642,1
4,3233534246,1672552473,0.517252129,43665914,3463914,7.932764215,341089991,11468683,3.362362808,769164901,15548557,2.021485507,41143507,3406301,8.27907305,0.837606977
4,4573061806,2538851035,0.555175316,46824790,2900961,6.195352932,463028176,12305238,2.657557064,1054509356,18358909,1.740990622,45389320,3212025,7.076609652,1.114706119
4,7915854949,5938534114,0.750207546,74958039,3076205,4.103902718,859771676,17162858,1.996211143,2243138238,36508533,1.627565006,69189945,3118514,4.50717803,1.162309737
4,8.10759E+11,7.04103E+11,0.868448494,2186673816,42419138,1.939893261,87704865705,913024426,1.041019126,2.48703E+11,967269723,0.388925953,2174059697,42548645,1.957105642,2.442633122
8,3233534246,1672552473,0.517252129,43665914,3463914,7.932764215,341089991,11468683,3.362362808,769164901,15548557,2.021485507,41143507,3406301,8.27907305,1.396506957
8,4573061806,2538851035,0.555175316,46824790,2900961,6.195352932,463028176,12305238,2.657557064,1054509356,18358909,1.740990622,45389320,3212025,7.076609652,1.369942763
8,7915854949,5938534114,0.750207546,74958039,3076205,4.103902718,859771676,17162858,1.996211143,2243138238,36508533,1.627565006,69189945,3118514,4.50717803,1.173885378
8,8.10759E+11,7.04103E+11,0.868448494,2186673816,42419138,1.939893261,87704865705,913024426,1.041019126,2.48703E+11,967269723,0.388925953,2174059697,42548645,1.957105642,3.361290412
16,3233534246,1672552473,0.517252129,43665914,3463914,7.932764215,341089991,11468683,3.362362808,769164901,15548557,2.021485507,41143507,3406301,8.27907305,1.217258388
16,4573061806,2538851035,0.555175316,46824790,2900961,6.195352932,463028176,12305238,2.657557064,1054509356,18358909,1.740990622,45389320,3212025,7.076609652,1.8154381
16,7915854949,5938534114,0.750207546,74958039,3076205,4.103902718,859771676,17162858,1.996211143,2243138238,36508533,1.627565006,69189945,3118514,4.50717803,1.230774816
16,8.10759E+11,7.04103E+11,0.868448494,2186673816,42419138,1.939893261,87704865705,913024426,1.041019126,2.48703E+11,967269723,0.388925953,2174059697,42548645,1.957105642,3.792954557
32,3233534246,1672552473,0.517252129,43665914,3463914,7.932764215,341089991,11468683,3.362362808,769164901,15548557,2.021485507,41143507,3406301,8.27907305,1.288681879
32,4573061806,2538851035,0.555175316,46824790,2900961,6.195352932,463028176,12305238,2.657557064,1054509356,18358909,1.740990622,45389320,3212025,7.076609652,1.630229063
32,7915854949,5938534114,0.750207546,74958039,3076205,4.103902718,859771676,17162858,1.996211143,2243138238,36508533,1.627565006,69189945,3118514,4.50717803,1.617914076
32,8.10759E+11,7.04103E+11,0.868448494,2186673816,42419138,1.939893261,87704865705,913024426,1.041019126,2.48703E+11,967269723,0.388925953,2174059697,42548645,1.957105642,4.122624517
1,3858419746,2839855515,0.736015183,50590689,2463022,4.868528278,571119244,11791898,2.06469982,1205376677,23829598,1.976942018,46075483,2401502,5.212103799,1
1,5875492124,5112971556,0.870220136,75175074,2966012,3.945472671,683567980,14413016,2.108497826,1739664370,47213404,2.713937517,74913566,3130798,4.179213682,1
