# Threads,# Instructions,IPC,Cache References,Cache Miss Rate,#Branches,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss Rate,SpeedUp
1.00 ,16095043.00 ,0.35 ,602496.00 ,1.05 ,1073633.00 ,0.84 ,4846541.00 ,0.20 ,11480.00 ,2.06 ,1.00 
1.00 ,261827175.00 ,0.36 ,3693791.00 ,8.19 ,15354658.00 ,0.09 ,95854120.00 ,2.99 ,3644541.00 ,13.21 ,1.00 
1.00 ,1022681667.00 ,0.34 ,14399044.00 ,12.25 ,62170291.00 ,0.02 ,389114585.00 ,2.80 ,14549418.00 ,12.39 ,1.00 
1.00 ,8013057352.00 ,0.33 ,116245599.00 ,12.27 ,501371962.00 ,0.01 ,2594911201.00 ,3.42 ,115849150.00 ,12.27 ,1.00 
4.00 ,16095043.00 ,0.35 ,602496.00 ,1.05 ,1073633.00 ,0.84 ,4846541.00 ,0.20 ,11480.00 ,2.06 ,0.46 
4.00 ,261827175.00 ,0.36 ,3693791.00 ,8.19 ,15354658.00 ,0.09 ,95854120.00 ,2.99 ,3644541.00 ,13.21 ,2.28 
4.00 ,1022681667.00 ,0.34 ,14399044.00 ,12.25 ,62170291.00 ,0.02 ,389114585.00 ,2.80 ,14549418.00 ,12.39 ,2.11 
4.00 ,8013057352.00 ,0.33 ,116245599.00 ,12.27 ,501371962.00 ,0.01 ,2594911201.00 ,3.42 ,115849150.00 ,12.27 ,2.19 
8.00 ,16095043.00 ,0.35 ,602496.00 ,1.05 ,1073633.00 ,0.84 ,4846541.00 ,0.20 ,11480.00 ,2.06 ,0.19 
8.00 ,261827175.00 ,0.36 ,3693791.00 ,8.19 ,15354658.00 ,0.09 ,95854120.00 ,2.99 ,3644541.00 ,13.21 ,1.72 
8.00 ,1022681667.00 ,0.34 ,14399044.00 ,12.25 ,62170291.00 ,0.02 ,389114585.00 ,2.80 ,14549418.00 ,12.39 ,1.38 
8.00 ,8013057352.00 ,0.33 ,116245599.00 ,12.27 ,501371962.00 ,0.01 ,2594911201.00 ,3.42 ,115849150.00 ,12.27 ,2.36 
16.00 ,16095043.00 ,0.35 ,602496.00 ,1.05 ,1073633.00 ,0.84 ,4846541.00 ,0.20 ,11480.00 ,2.06 ,0.10 
16.00 ,261827175.00 ,0.36 ,3693791.00 ,8.19 ,15354658.00 ,0.09 ,95854120.00 ,2.99 ,3644541.00 ,13.21 ,0.85 
16.00 ,1022681667.00 ,0.34 ,14399044.00 ,12.25 ,62170291.00 ,0.02 ,389114585.00 ,2.80 ,14549418.00 ,12.39 ,2.58 
16.00 ,8013057352.00 ,0.33 ,116245599.00 ,12.27 ,501371962.00 ,0.01 ,2594911201.00 ,3.42 ,115849150.00 ,12.27 ,3.46 
32.00 ,16095043.00 ,0.35 ,602496.00 ,1.05 ,1073633.00 ,0.84 ,4846541.00 ,0.20 ,11480.00 ,2.06 ,0.12 
32.00 ,261827175.00 ,0.36 ,3693791.00 ,8.19 ,15354658.00 ,0.09 ,95854120.00 ,2.99 ,3644541.00 ,13.21 ,0.82 
32.00 ,1022681667.00 ,0.34 ,14399044.00 ,12.25 ,62170291.00 ,0.02 ,389114585.00 ,2.80 ,14549418.00 ,12.39 ,1.69 
32.00 ,8013057352.00 ,0.33 ,116245599.00 ,12.27 ,501371962.00 ,0.01 ,2594911201.00 ,3.42 ,115849150.00 ,12.27 ,3.60 
1.00 ,1395662255.00 ,0.43 ,95628513.00 ,5.07 ,99189703.00 ,0.41 ,621902985.00 ,9.85 ,97747450.00 ,5.15 ,1.00 
1.00 ,5215907071.00 ,0.62 ,371112292.00 ,3.96 ,374134330.00 ,0.34 ,2245564962.00 ,9.58 ,368409310.00 ,4.11 ,1.00 
1.00 ,20458288857.00 ,0.58 ,1402553040.00 ,7.30 ,1445495432.00 ,0.18 ,8765396950.00 ,8.83 ,1399422073.00 ,7.27 ,1.00 
1.00 ,82421898118.00 ,0.51 ,5697646297.00 ,7.10 ,5864103915.00 ,0.15 ,35343251100.00 ,9.99 ,5704461050.00 ,7.16 ,1.00 
4.00 ,1395662255.00 ,0.43 ,95628513.00 ,5.07 ,99189703.00 ,0.41 ,621902985.00 ,9.85 ,97747450.00 ,5.15 ,0.66 
4.00 ,5215907071.00 ,0.62 ,371112292.00 ,3.96 ,374134330.00 ,0.34 ,2245564962.00 ,9.58 ,368409310.00 ,4.11 ,0.45 
4.00 ,20458288857.00 ,0.58 ,1402553040.00 ,7.30 ,1445495432.00 ,0.18 ,8765396950.00 ,8.83 ,1399422073.00 ,7.27 ,1.00 
4.00 ,82421898118.00 ,0.51 ,5697646297.00 ,7.10 ,5864103915.00 ,0.15 ,35343251100.00 ,9.99 ,5704461050.00 ,7.16 ,1.53 
8.00 ,1395662255.00 ,0.43 ,95628513.00 ,5.07 ,99189703.00 ,0.41 ,621902985.00 ,9.85 ,97747450.00 ,5.15 ,0.67 
8.00 ,5215907071.00 ,0.62 ,371112292.00 ,3.96 ,374134330.00 ,0.34 ,2245564962.00 ,9.58 ,368409310.00 ,4.11 ,0.52 
8.00 ,20458288857.00 ,0.58 ,1402553040.00 ,7.30 ,1445495432.00 ,0.18 ,8765396950.00 ,8.83 ,1399422073.00 ,7.27 ,0.92 
8.00 ,82421898118.00 ,0.51 ,5697646297.00 ,7.10 ,5864103915.00 ,0.15 ,35343251100.00 ,9.99 ,5704461050.00 ,7.16 ,1.67 
16.00 ,1395662255.00 ,0.43 ,95628513.00 ,5.07 ,99189703.00 ,0.41 ,621902985.00 ,9.85 ,97747450.00 ,5.15 ,0.82 
16.00 ,5215907071.00 ,0.62 ,371112292.00 ,3.96 ,374134330.00 ,0.34 ,2245564962.00 ,9.58 ,368409310.00 ,4.11 ,0.80 
16.00 ,20458288857.00 ,0.58 ,1402553040.00 ,7.30 ,1445495432.00 ,0.18 ,8765396950.00 ,8.83 ,1399422073.00 ,7.27 ,0.92 
16.00 ,82421898118.00 ,0.51 ,5697646297.00 ,7.10 ,5864103915.00 ,0.15 ,35343251100.00 ,9.99 ,5704461050.00 ,7.16 ,1.55 
32.00 ,1395662255.00 ,0.43 ,95628513.00 ,5.07 ,99189703.00 ,0.41 ,621902985.00 ,9.85 ,97747450.00 ,5.15 ,0.54 
32.00 ,5215907071.00 ,0.62 ,371112292.00 ,3.96 ,374134330.00 ,0.34 ,2245564962.00 ,9.58 ,368409310.00 ,4.11 ,0.88 
32.00 ,20458288857.00 ,0.58 ,1402553040.00 ,7.30 ,1445495432.00 ,0.18 ,8765396950.00 ,8.83 ,1399422073.00 ,7.27 ,0.98 
32.00 ,82421898118.00 ,0.51 ,5697646297.00 ,7.10 ,5864103915.00 ,0.15 ,35343251100.00 ,9.99 ,5704461050.00 ,7.16 ,1.69 
1.00 ,1650919037.00 ,0.84 ,86367464.00 ,8.00 ,87815854.00 ,0.31 ,667822596.00 ,7.60 ,86204824.00 ,8.67 ,1.00 
1.00 ,6099874607.00 ,0.62 ,334731707.00 ,8.67 ,356460761.00 ,0.15 ,2467913758.00 ,8.17 ,334737523.00 ,8.51 ,1.00 
1.00 ,23994188747.00 ,0.69 ,1327543136.00 ,9.61 ,1355047291.00 ,0.08 ,9532456372.00 ,8.16 ,1335320510.00 ,9.83 ,1.00 
1.00 ,97335434157.00 ,0.88 ,5378758457.00 ,9.26 ,5493518497.00 ,0.04 ,38708276180.00 ,8.04 ,5388738277.00 ,9.35 ,1.00 
4.00 ,1650919037.00 ,0.84 ,86367464.00 ,8.00 ,87815854.00 ,0.31 ,667822596.00 ,7.60 ,86204824.00 ,8.67 ,0.61 
4.00 ,6099874607.00 ,0.62 ,334731707.00 ,8.67 ,356460761.00 ,0.15 ,2467913758.00 ,8.17 ,334737523.00 ,8.51 ,0.83 
4.00 ,23994188747.00 ,0.69 ,1327543136.00 ,9.61 ,1355047291.00 ,0.08 ,9532456372.00 ,8.16 ,1335320510.00 ,9.83 ,0.84 
4.00 ,97335434157.00 ,0.88 ,5378758457.00 ,9.26 ,5493518497.00 ,0.04 ,38708276180.00 ,8.04 ,5388738277.00 ,9.35 ,0.88 
8.00 ,1650919037.00 ,0.84 ,86367464.00 ,8.00 ,87815854.00 ,0.31 ,667822596.00 ,7.60 ,86204824.00 ,8.67 ,0.57 
