# Threads,# Cycles,# Instructions,IPC,Cache References,Cache misses,Cache Miss Rate,#Branches,Branch-Misses,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss,LL Cache Load Miss Rate,SpeedUp
1.00,45593882.00,16095043.00,0.35,602496.00,6299.00,1.05,1073633.00,8978.00,0.84,4846541.00,9742.00,0.20,11480.00,237.00,2.06,1.00
1.00,729417118.00,261827175.00,0.36,3693791.00,302343.00,8.19,15354658.00,13842.00,0.09,95854120.00,2867264.00,2.99,3644541.00,481616.00,13.21,1.00
1.00,2974035709.00,1022681667.00,0.34,14399044.00,1764432.00,12.25,62170291.00,12140.00,0.02,389114585.00,10901945.00,2.80,14549418.00,1802767.00,12.39,1.00
1.00,24640831274.00,8013057352.00,0.33,116245599.00,14265392.00,12.27,501371962.00,39050.00,0.01,2594911201.00,88811305.00,3.42,115849150.00,14210322.00,12.27,1.00
4.00,45593882.00,16095043.00,0.35,602496.00,6299.00,1.05,1073633.00,8978.00,0.84,4846541.00,9742.00,0.20,11480.00,237.00,2.06,0.46
4.00,729417118.00,261827175.00,0.36,3693791.00,302343.00,8.19,15354658.00,13842.00,0.09,95854120.00,2867264.00,2.99,3644541.00,481616.00,13.21,2.28
4.00,2974035709.00,1022681667.00,0.34,14399044.00,1764432.00,12.25,62170291.00,12140.00,0.02,389114585.00,10901945.00,2.80,14549418.00,1802767.00,12.39,2.11
4.00,24640831274.00,8013057352.00,0.33,116245599.00,14265392.00,12.27,501371962.00,39050.00,0.01,2594911201.00,88811305.00,3.42,115849150.00,14210322.00,12.27,2.19
8.00,45593882.00,16095043.00,0.35,602496.00,6299.00,1.05,1073633.00,8978.00,0.84,4846541.00,9742.00,0.20,11480.00,237.00,2.06,0.19
8.00,729417118.00,261827175.00,0.36,3693791.00,302343.00,8.19,15354658.00,13842.00,0.09,95854120.00,2867264.00,2.99,3644541.00,481616.00,13.21,1.72
8.00,2974035709.00,1022681667.00,0.34,14399044.00,1764432.00,12.25,62170291.00,12140.00,0.02,389114585.00,10901945.00,2.80,14549418.00,1802767.00,12.39,1.38
8.00,24640831274.00,8013057352.00,0.33,116245599.00,14265392.00,12.27,501371962.00,39050.00,0.01,2594911201.00,88811305.00,3.42,115849150.00,14210322.00,12.27,2.36
16.00,45593882.00,16095043.00,0.35,602496.00,6299.00,1.05,1073633.00,8978.00,0.84,4846541.00,9742.00,0.20,11480.00,237.00,2.06,0.10
16.00,729417118.00,261827175.00,0.36,3693791.00,302343.00,8.19,15354658.00,13842.00,0.09,95854120.00,2867264.00,2.99,3644541.00,481616.00,13.21,0.85
16.00,2974035709.00,1022681667.00,0.34,14399044.00,1764432.00,12.25,62170291.00,12140.00,0.02,389114585.00,10901945.00,2.80,14549418.00,1802767.00,12.39,2.58
16.00,24640831274.00,8013057352.00,0.33,116245599.00,14265392.00,12.27,501371962.00,39050.00,0.01,2594911201.00,88811305.00,3.42,115849150.00,14210322.00,12.27,3.46
32.00,45593882.00,16095043.00,0.35,602496.00,6299.00,1.05,1073633.00,8978.00,0.84,4846541.00,9742.00,0.20,11480.00,237.00,2.06,0.12
